2024/10/21 21:06:08 [INFO] User access token validated: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, uid: 1110930482
2024/10/23 19:45:11 [ERROR] Invalid access token: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, error: failed to parse access token
2024/10/23 19:45:30 [INFO] User logged in successfully: path: /login, method: POST, clientIp: 127.0.0.1, query: /login, username: mustafa.naseer
2024/10/23 19:45:51 [INFO] User access token validated: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, uid: 3522294735
2024/10/23 19:46:02 [INFO] User logged in successfully: path: /login, method: POST, clientIp: 127.0.0.1, query: /login, username: ali.mustafa
2024/10/23 19:46:17 [INFO] User access token validated: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, uid: 1110930482
2024/10/23 19:57:16 [INFO] User access token validated: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, uid: 3522294735
2024/10/23 19:57:18 [INFO] User access token validated: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, uid: 1110930482
2024/10/23 20:03:04 [INFO] User access token validated: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, uid: 1110930482
2024/10/23 20:03:09 [INFO] User access token validated: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, uid: 3522294735
2024/10/23 20:08:38 [INFO] User access token validated: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, uid: 3522294735
2024/10/25 20:45:17 [INFO] User access token validated: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, uid: 3522294735
2024/10/25 20:45:31 [INFO] User access token validated: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, uid: 1110930482
2024/10/25 20:46:31 [INFO] User access token validated: path: /check-login, method: POST, clientIp: 127.0.0.1, query: /check-login, uid: 1110930482
